id,name,name_en,birth_year,death_year,era,region,gender,occupation,major_achievement,historical_significance,famous_quote,personality_trait,fun_fact,modern_comparison,if_alive_today,recommended_for,trivia_level,catchphrase,hint1,hint2,hint3
1,織田信長,Oda Nobunaga,1534,1582,戦国時代,日本,男性,武将・戦国大名,天下統一への道筋を作った,楽市楽査による経済改革、鉄砲の戦術的活用で戦国時代の常識を覆した,「是非に及ばず」,超革新的で短気、新しいもの好き,南蛮文化マニアでマントを着て金平糖を食べていた,イーロン・マスク的な破壊的イノベーター,絶対にスタートアップCEOやってそう、AI開発に夢中になってそう,ゲーム好き・歴史好き・ビジネス好き,95,「常識？それ美味しいの？」,既成概念を打ち破り、革新的な政策を次々と打ち出した。その生き様は、まるで炎のように鮮烈だった。,戦乱の世を終わらせるため、鉄砲を有効活用し、経済にも力を入れた。,比叡山焼き討ちや本能寺の変など、数々の逸話が残る天下統一を目指した武将。
2,豊臣秀吉,Toyotomi Hideyoshi,1537,1598,戦国時代,日本,男性,武将・天下人,農民から天下人へと上り詰めた,農民から天下人へと上り詰めた立志伝中の人物,「露と落ち露と消えにしわが身かな」,陽気で社交的、交渉上手,指が6本あったという説がある。めちゃくちゃお喋りだった,起業で成功した元バイトリーダー,YouTuberかインフルエンサーやってそう、トーク力で稼ぐタイプ,サクセスストーリー好き・コミュ力高い人,92,「農民からの成り上がり、見せたろか！」,足軽から身を起こし、戦国の世を駆け上がった異例の出世頭。太閤検地や刀狩といった政策で、天下統一の基礎を築きました。,農民出身ながらも、知略と人たらしで織田信長に重用された武将。天下統一を目前にしながらも志半ばで病に倒れました。,「人たらし」の異名を持ち、草履取りから関白にまで上り詰めた人物。大阪城を築き、太閤検地を実施しました。
3,徳川家康,Tokugawa Ieyasu,1543,1616,戦国〜江戸時代,日本,男性,武将・征夷大将軍,江戸幕府を開き260年の平和をもたらした,忍耐強く機会を待ち、最終的に天下を統一,「人の一生は重荷を負うて遠き道を行くが如し」,超慎重派、健康オタク,鷹狩りが大好き。天ぷらの食べ過ぎで亡くなった説も,ウォーレン・バフェット的な長期投資家,資産運用YouTuberやってそう「コツコツ積立が最強」,我慢強い人・計画的な人,94,「待つのも仕事のうち」,群雄割拠の時代を終わらせ、泰平の世を築いた稀代の政治家。その名は、東照大権現として今も人々を照らし続ける。,戦国武将として名を馳せ、関ヶ原で天下を掌握。その後、江戸に幕府を開き、武士による統治を確立した。,江戸幕府を開き、約260年続く平和な時代を築いた人物。晩年は駿府で大御所として政治を動かした。
4,坂本龍馬,Sakamoto Ryoma,1836,1867,幕末,日本,男性,志士・政治家,薩長同盟を仲介し明治維新を推進,身分制度を超えた新しい日本の構想を持った,「日本を今一度せんたくいたし申候」,自由奔放、超ポジティブ,実は泳ぎが苦手。剣術より拳銃が好きだった,スティーブ・ジョブズ的なビジョナリー,絶対にベンチャーキャピタリストかコンサルタント,冒険好き・自由人・起業家志望,96,「まぁまぁ、とりあえず飲もうや」,時代の荒波を読み、新しい日本の夜明けを夢見た、土佐の国の風雲児。,剣術を学び、海を駆け巡り、倒幕と開国への道を志した。,犬猿の仲だった二つの藩を結び付け、維新回天の立役者となった。
5,西郷隆盛,Saigo Takamori,1828,1877,幕末〜明治,日本,男性,軍人・政治家,明治維新の三傑の一人,西南戦争を起こし悲劇の英雄となった,「敬天愛人」,義理人情に厚い、犬好き,めちゃくちゃ犬好きで散歩ばかりしていた。写真嫌いで本人の写真が残ってない,カリスマ的リーダー,犬系YouTuber、筋トレ系インフルエンサー,義理堅い人・動物好き・体育会系,88,「男は黙って行動で示す」,故郷の空を仰ぎ、時代を変える狼煙を上げた。しかし、その炎は皮肉にも故郷を焼き尽くすこととなる。,武士道の精神を貫き、新政府軍を率いたが、最後は政府に反旗を翻すという悲劇的な結末を迎えた。,明治維新の立役者でありながら、西南戦争で政府軍と戦い、自刃した悲劇の英雄として知られる。
6,夏目漱石,Natsume Soseki,1867,1916,明治〜大正,日本,男性,小説家,「吾輩は猫である」「坊っちゃん」を執筆,近代日本文学の礎を築いた国民的作家,「知に働けば角が立つ」,神経質、猫好き,うつ病に悩まされ胃腸が弱かった。お札の肖像にもなった,村上春樹的な文豪,小説家兼エッセイスト、Twitterで皮肉ツイートしてそう,文学好き・猫好き・繊細な人,90,「猫に学ぶ人生哲学」,文明開化の喧騒の中、神経衰弱と向き合いながら、人間と社会の矛盾をユーモラスかつシニカルに描いた文豪。,英文学を修めた後、教師の傍ら筆を執り、猫の視点や田舎教師の姿を通して、近代日本の姿を浮き彫りにした。,『吾輩は猫である』や『坊っちゃん』といった、教科書にも載る名作を残した明治・大正時代の小説家。
7,樋口一葉,Higuchi Ichiyo,1872,1896,明治,日本,女性,小説家,「たけくらべ」など女性の視点で作品を執筆,24歳で夭逝も女性文学の先駆者,「この世は夢か現か」,真面目、努力家,貧しい中で執筆活動。5000円札の肖像になった,現代の女性作家のパイオニア,女性向けメディアの編集長、フェミニズム系ライター,文学好き・努力家・女性,75,「ペンは女性を自由にする」,変わりゆく東京で、古き良き時代の面影と、そこに生きる女性たちの繊細な心情を قلم（ペン）で紡いだ。,五千円札に肖像が描かれた、明治時代の女流作家。庶民の生活を写実的に描き、女性の自立を模索した。,吉原を舞台にした「たけくらべ」や、「にごりえ」で知られる小説家。若くして亡くなったが、日本の女性文学に大きな足跡を残した。
8,野口英世,Noguchi Hideyo,1876,1928,明治〜昭和,日本,男性,細菌学者,黄熱病の研究で世界的に活躍,幼少期の火傷を克服し医学者に,「忍耐」,情熱的、浪費家,実は借金魔で母親からの仕送りも使い込んだ。千円札の肖像,研究に没頭する天才科学者,医療系YouTuber、研究者兼サイエンスコミュニケーター,理系・努力家・研究好き,85,「ハンデを強みに変える」,千円札に肖像が刻まれた科学者。異国の地で病と闘い、研究に捧げた生涯は、人々に希望と勇気を与えた。,アメリカで研究に没頭し、ある熱病の原因究明に尽力。その業績は、感染症研究の発展に大きく貢献した。,晩年、黄熱病の研究に没頭し、アフリカで命を落とした医学者。梅毒の研究でも知られる。
9,紫式部,Murasaki Shikibu,973,1014,平安時代,日本,女性,作家・歌人,「源氏物語」を執筆,世界最古の長編小説を書いた,「もののあはれ」,内向的、観察眼が鋭い,本名は不明。超インドア派で宮中の人間関係を観察して小説に,現代の恋愛小説家・BL作家の元祖,絶対に小説家、恋愛ドラマの脚本家,文学好き・恋愛好き・観察好き,82,「千年前から恋愛を描いてました」,雅な宮廷で、恋と権謀術数が織りなす長編物語を紡ぎ出した女性。その筆は、千年の時を超えて今もなお輝きを放っています。,平安の世、女房として宮仕えしながら、物語を綴り、歌を詠んだ才女。彼女の作品は、日本の文学史に名を刻んでいます。,世界最古の長編小説とも言われる『源氏物語』の作者。その物語は、光源氏の生涯を通して、王朝文化を描き出しています。
10,聖徳太子,Prince Shotoku,574,622,飛鳥時代,日本,男性,皇族・政治家,十七条憲法を制定、仏教を広めた,「和を以て貴しとなす」の理念を提唱,「和を以て貴しとなす」,聡明、マルチタスク能力高い,一度に10人の話を聞き分けたという伝説,理想主義的な改革者,政治家兼思想家、TEDトークで講演してそう,歴史好き・政治好き・仏教好き,88,「みんな仲良くが基本でしょ」,遣隋使が往来した時代、理想の国家像を追い求めた。和の精神を重んじ、未来を見据えた羅針盤を作ろうとした。,冠位十二階を定め、法隆寺を建立。仏教を厚く信仰し、政治の安定と文化の発展に尽力した。,十七条の憲法を制定し、仏教を広めた。日本の礎を築いた飛鳥時代の皇族政治家。
